Team,Total DVOA Rank,Total DVOA,Prev. Week Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
NE,1,-16.9%,2,1,-23.1%,3,-18.2%,6,-15.3%,2,-17.6%,3,-18.1%,5,-17.0%,27,8.7%,26,-2.8%
BUF,2,-16.8%,1,3,-14.5%,2,-19.5%,9,-13.3%,1,-19.4%,1,-23.2%,9,-14.6%,32,12.7%,30,-5.0%
DAL,3,-15.6%,3,2,-18.5%,1,-21.1%,19,-7.1%,3,-17.2%,2,-21.0%,16,-11.4%,18,6.1%,15,0.0%
NO,4,-13.0%,5,4,-12.0%,6,-2.3%,1,-29.5%,5,-9.8%,9,0.1%,1,-25.3%,21,6.6%,8,2.1%
ARI,5,-10.5%,4,6,-8.9%,4,-8.0%,8,-14.0%,4,-11.3%,4,-8.6%,7,-15.1%,6,3.2%,18,-0.5%
LAR,6,-8.7%,6,5,-11.1%,7,-0.3%,4,-20.3%,8,-6.4%,10,0.9%,6,-16.6%,12,4.7%,20,-1.0%
TB,7,-5.6%,7,9,-7.7%,5,-2.9%,12,-11.2%,6,-9.3%,5,-6.6%,8,-14.8%,8,3.4%,27,-3.1%
IND,8,-5.3%,9,7,-8.6%,16,5.3%,3,-21.8%,7,-9.3%,8,-0.7%,2,-22.5%,23,7.9%,25,-2.5%
SF,9,-5.1%,8,8,-7.9%,21,7.1%,2,-22.6%,11,-2.2%,19,8.9%,4,-18.0%,7,3.3%,13,0.3%
CAR,10,-1.8%,10,19,0.1%,8,0.8%,24,-4.7%,9,-6.2%,6,-2.6%,19,-10.2%,31,11.9%,32,-5.5%
CIN,11,-1.5%,12,13,-2.2%,17,6.0%,10,-13.2%,12,-1.5%,15,6.7%,10,-14.2%,11,4.2%,12,0.7%
MIA,12,-0.8%,11,12,-3.2%,14,4.6%,18,-9.3%,10,-4.1%,7,-2.0%,20,-7.4%,22,7.3%,29,-4.5%
TEN,13,-0.5%,14,11,-3.5%,15,4.8%,17,-9.5%,14,0.6%,17,7.0%,18,-10.3%,28,8.8%,23,-1.2%
KC,14,0.3%,17,10,-7.6%,11,4.3%,20,-5.7%,22,5.0%,22,10.1%,26,-2.7%,29,10.2%,1,4.9%
CLE,15,1.0%,15,15,-0.5%,23,9.4%,16,-10.3%,13,0.5%,20,9.2%,17,-11.2%,30,10.7%,19,-0.8%
MIN,16,1.2%,19,21,1.3%,18,6.2%,21,-5.7%,15,1.3%,14,5.4%,22,-4.4%,9,3.5%,14,0.1%
HOU,17,1.3%,13,17,-0.2%,10,3.8%,27,-1.5%,18,3.1%,11,4.1%,31,2.1%,13,4.8%,24,-1.7%
CHI,18,1.6%,24,20,1.0%,22,8.0%,22,-5.7%,23,5.1%,23,13.5%,21,-4.5%,25,8.4%,2,4.9%
NYG,19,2.1%,18,16,-0.4%,13,4.4%,28,-0.9%,20,3.7%,18,7.9%,27,-1.9%,10,4.0%,6,3.0%
PIT,20,2.2%,27,24,4.1%,9,3.2%,30,1.0%,21,4.0%,16,6.8%,29,0.7%,16,5.6%,10,1.9%
DEN,21,2.4%,21,14,-0.6%,20,7.0%,23,-4.8%,16,1.4%,12,5.1%,23,-4.2%,26,8.6%,21,-1.0%
GB,22,2.8%,16,18,0.1%,19,6.7%,25,-3.6%,17,2.1%,13,5.1%,25,-2.9%,14,5.4%,16,-0.1%
PHI,23,3.2%,22,22,2.7%,24,13.9%,15,-10.4%,19,3.5%,24,15.4%,14,-11.6%,17,5.8%,17,-0.3%
LAC,24,3.4%,20,23,3.3%,12,4.4%,31,2.3%,26,6.1%,21,9.3%,32,2.4%,4,2.7%,5,3.1%
SEA,25,5.1%,26,25,4.4%,28,20.4%,7,-14.4%,27,6.6%,28,22.4%,11,-13.6%,1,1.6%,9,1.9%
LV,26,5.4%,25,29,6.3%,25,17.1%,13,-11.0%,24,5.3%,25,17.5%,12,-11.9%,2,1.8%,11,1.9%
BAL,27,5.9%,23,27,6.0%,29,20.5%,5,-16.9%,25,5.8%,26,21.6%,3,-18.9%,19,6.2%,7,2.4%
WAS,28,7.4%,28,26,5.4%,27,18.9%,11,-11.3%,28,10.6%,29,24.0%,15,-11.4%,15,5.5%,4,3.8%
DET,29,10.2%,31,30,8.5%,26,18.7%,29,-0.3%,30,12.5%,27,21.8%,30,1.1%,5,3.0%,3,3.9%
JAX,30,11.1%,29,28,6.3%,31,29.8%,14,-10.8%,29,10.7%,31,29.7%,13,-11.7%,24,8.0%,28,-3.6%
ATL,31,14.1%,30,31,13.1%,30,26.6%,26,-2.2%,31,13.1%,30,26.3%,24,-4.2%,3,2.1%,22,-1.1%
NYJ,32,16.8%,32,32,17.2%,32,30.2%,32,2.5%,32,15.1%,32,30.1%,28,-1.0%,19,6.2%,31,-5.1%

